from_str|to_char|rel_frequency
me|a|0.0535231928660284
me|o|0.01817041230400523
me|m|0.0233692742353513
me|n|0.07780541979987196
me|e|0.01621606118104236
me|s|0.03984211394903082
me|b|0.007770655893561346
me|w|0.005061777877422804
me|r|0.028504280291496705
me|l|0.010011822088159388
me|d|0.024025053183588014
me|h|0.0016051481272810761
me|x|0.00120530081678496
me|p|0.0005586683334311026
me|g|0.001103729888857466
me|c|0.0008937564141702229
me|i|0.0004252541573929323
me|f|0.00013567256242899846
me|y|0.00034976759227950285
me|z|0.00010659583764708659
me|v|6.464631043745453e-05
me|k|4.561940509472773e-05
me|Î|8.97708590354172e-06
me|u|6.323481894318696e-06
hi|s|0.3571475920011001
hi|m|0.12349694664253028
hi|n|0.3372621613094811
hi|c|0.028198398264848806
hi| |0.01809443686504801
hi|t|0.034367018540983126
hi|l|0.03794145824746783
hi|g|0.011225501054308145
hi|p|0.015716833668029985
hi|e|0.0096073795544021
hi|d|0.00742778821606046
hi|r|0.010532672595822247
hi|f|0.0014171878554268733
hi|o|0.001659756947595763
hi|y|0.0003688754576018749
hi|a|0.0015896949588664298
hi|b|0.0012352458186658164
hi|k|0.0008236392436981797
hi|v|0.0009773982215698523
hi|u|0.00013415866477797564
hi|z|0.0003843974446791815
hi|j|0.00021749043069496684
hi|h|0.00012490634306914973
hi|q|1.588721030265501e-05
hi|i|2.4104732872993806e-05
hi|w|9.06971009615171e-06
 h|e|0.396999851239281
 h|a|0.2802336988617003
 h|i|0.138653183572792
 h|o|0.14254039718751457
 h|u|0.03593644708734607
 h|m|0.002994321561812537
 h| |0.0004121645300762285
 h|y|0.0017569758502589481
 h|q|6.941511408249459e-05
 h|w|0.0001270971729990151
 h|k|4.935748905015904e-05
 h|r|4.024634565311773e-05
 h|t|2.58258309239876e-05
 h|Ã|3.5068069909475544e-05
 h|b|1.9533242678548996e-05
 h|p|2.8742707766925285e-05
 h|s|5.099618390574201e-05
 h|d|1.1733055165974061e-05
 h|Î|9.209465088376289e-06
 h|j|5.7354319945403934e-06
 f|o|0.35394212099407046
 f|r|0.15964365878986567
 f|i|0.17704508225023924
 f|a|0.13129485921987813
 f|e|0.07775850366251424
 f|u|0.06396833682740928
 f|l|0.03339931359530212
 f|b|0.0012537128067498524
 f| |0.0010431062125758914
 f|Ã|0.00013021210725041235
 f|f|0.00010521138265833317
 f|d|8.16812889246116e-05
 f|y|7.37153717751746e-05
 f|Î|4.920485746921464e-05
 f|m|4.644742460979414e-05
 f|t|5.9376720906188026e-05
 f|s|2.8125815166089065e-05
 f|c|3.272153659845656e-05
 f|j|2.0650108302771276e-05
 f|x|8.33357486402639e-06
 f|n|8.33357486402639e-06
 f|p|7.2918780060230915e-06
fo|r|0.8438891422599829
fo|u|0.06949313028744364
fo|o|0.041410065510690416
fo|l|0.028988102968670246
fo|c|0.00518558341966408
fo|x|0.002061517830445406
fo|s|0.002006095001072213
fo|n|0.0026782667000915155
fo|g|0.0010208673748304847
fo| |0.0011628223056501083
fo|a|0.0005800520098703982
fo|w|0.0003079213871715027
fo|e|0.00035156497760434444
fo|y|0.0002571800501976798
fo|i|0.0002802854804268313
fo|d|0.0001336490572078371
fo|z|4.95332099030176e-05
fo|k|4.213343159433509e-05
fo|b|3.6394828008009885e-05
fo|m|2.6578795557716762e-05
fo|p|2.1293239622943542e-05
fo|t|1.7819874294378282e-05
or| |0.4106570608619851
or|e|0.1160646980203253
or|r|0.0797153491218993
or|k|0.058136072417657364
or|l|0.01989380338542176
or|n|0.030906818878096085
or|g|0.03076251641192142
or|d|0.05185913950984215
or|y|0.021859035017163405
or|t|0.06680883654197442
or|s|0.026043550112477075
or|m|0.025614617282101834
or|c|0.010951922533871814
or|w|0.0036610260065609865
or|i|0.022823252428861802
or|h|0.0011222385485800247
or|a|0.011674524665689136
or|b|0.002887075018499371
or|p|0.004075406789036782
or|o|0.003213246030448141
or|u|0.0005526572904894546
or|f|0.0004823330766317894
or|v|0.00012116022259889446
or|z|3.320687582340071e-05
or|q|3.955336367381899e-05
or|j|2.3142243575767672e-05
or|Ã|1.7757344793594584e-05
my| |0.9447571765933523
my|s|0.05051747569829316
my|t|0.0024920854982633093
my|r|0.0008919834271074105
my|e|0.0003071248173028836
my|u|0.00017110588857156202
my|k|0.00020118042557748238
my|d|8.338848897096098e-05
my|c|7.792039133352093e-05
my|l|7.67812043257209e-05
my|a|0.00015470159565924183
my|o|0.00015857483148576187
my|j|4.1010732280800486e-05
my|w|3.827668346208045e-05
my|g|3.121372401372037e-05
on| |0.4968270672226276
on|e|0.19236748896695857
on|n|0.044578542924378656
on|l|0.030601166235266417
on|g|0.05549700545431797
on|c|0.01484543527507191
on|i|0.014965595512282354
on|d|0.027481784065761267
on|t|0.030953802914196065
on|s|0.0469934706185593
on|o|0.005938148250580297
on|a|0.016327569563963584
on|y|0.004744389911177535
on|v|0.005193784026454905
on|f|0.006902705678403021
on|k|0.0023288157307852124
on|m|0.0006829911330968141
on|u|0.000757466344682054
on|q|0.00046219454226858304
on|r|0.00039284812129598417
on|z|0.0003274668157550069
on|b|0.00017653383486871654
on|j|0.00028561760831908803
on|x|7.382872537356236e-05
on|w|0.0002366139534739389
on|p|2.866088871769934e-05
on|h|2.1721936712361605e-05
on|Ã|7.2837446515656966e-06
av|e|0.8729478134249388
av|i|0.0784742482960438
av|o|0.02679459030219582
av|y|0.00810521478387796
av|a|0.011405722053093356
av| |0.0014821909945188162
av|v|0.00011286343876057985
av|r|0.0003002061826626968
av|u|8.57480416168524e-05
av|l|0.00012659721133987038
av|c|3.6271245529921134e-05
av|s|3.380620942594591e-05
av|n|7.53596751786711e-05
av|m|1.936814081694818e-05
ve| |0.5028484007830759
ve|r|0.3141938938632752
ve|n|0.08604733787987086
ve|s|0.037987872754613045
ve|d|0.02960530885447751
ve|l|0.017115173970718787
ve|h|0.0012730619617106367
ve|m|0.0023336192939263384
ve|g|0.0018725045613466726
ve|i|0.0014333414324922003
ve|a|0.0013745635562489205
ve|y|0.0016482705674732013
ve|j|0.00023550466802491396
ve|t|0.0012240476345869206
ve|w|0.00015982078055447
ve|e|0.00027370701122428093
ve|b|8.577507246650316e-05
ve|c|0.00012260134498458933
ve|z|6.651008292857197e-05
ve|x|5.746733273729815e-05
ve|k|1.428492421520068e-05
ve|p|1.186041872913451e-05
ve|u|1.5071250318789707e-05
ur| |0.5058010899216048
ur|e|0.14227212973860479
ur|s|0.09965904617316915
ur|n|0.05896835966511722
ur|t|0.03558375285169389
ur|r|0.02104067727038667
ur|d|0.019334167112846582
ur|i|0.028276780114481505
ur|p|0.014352177487707351
ur|c|0.009247394507296527
ur|a|0.02044893414548319
ur|v|0.007671563516834467
ur|g|0.010340552367320704
ur|o|0.004945940199738396
ur|y|0.00778339866608933
ur|f|0.003313372329526159
ur|k|0.002895526716925574
ur|b|0.0044338744980219925
ur|m|0.0011491778477919522
ur|h|0.0004006402050229139
ur|l|0.0012230177219794576
